ano,area_nome,regiao,programas,participacao_regional
2013,Geografia,CENTRO-OESTE,8,0.15384615384615385
2013,Geografia,NORDESTE,10,0.19230769230769232
2013,Geografia,NORTE,5,0.09615384615384616
2013,Geografia,SUDESTE,17,0.3269230769230769
2013,Geografia,SUL,12,0.23076923076923078
2013,Economia,CENTRO-OESTE,16,0.11267605633802817
2013,Economia,NORDESTE,25,0.176056338028169
2013,Economia,NORTE,5,0.035211267605633804
2013,Economia,SUDESTE,58,0.4084507042253521
2013,Economia,SUL,38,0.2676056338028169
2013,Ciência Política / RI,CENTRO-OESTE,5,0.15625
2013,Ciência Política / RI,NORDESTE,5,0.15625
2013,Ciência Política / RI,NORTE,1,0.03125
2013,Ciência Política / RI,SUDESTE,15,0.46875
2013,Ciência Política / RI,SUL,6,0.1875
2013,Sociologia,CENTRO-OESTE,5,0.07936507936507936
2013,Sociologia,NORDESTE,14,0.2222222222222222
2013,Sociologia,NORTE,2,0.031746031746031744
2013,Sociologia,SUDESTE,26,0.4126984126984127
2013,Sociologia,SUL,16,0.25396825396825395
2013,Antropologia / Arqueologia,CENTRO-OESTE,14,0.10294117647058823
2013,Antropologia / Arqueologia,NORDESTE,26,0.19117647058823528
2013,Antropologia / Arqueologia,NORTE,9,0.0661764705882353
2013,Antropologia / Arqueologia,SUDESTE,60,0.4411764705882353
2013,Antropologia / Arqueologia,SUL,27,0.19852941176470587
2013,História,CENTRO-OESTE,22,0.10576923076923077
2013,História,NORDESTE,46,0.22115384615384615
2013,História,NORTE,12,0.057692307692307696
2013,História,SUDESTE,86,0.41346153846153844
2013,História,SUL,42,0.20192307692307693
2014,Geografia,CENTRO-OESTE,9,0.16071428571428573
2014,Geografia,NORDESTE,11,0.19642857142857142
2014,Geografia,NORTE,5,0.08928571428571429
2014,Geografia,SUDESTE,19,0.3392857142857143
2014,Geografia,SUL,12,0.21428571428571427
2014,Economia,CENTRO-OESTE,16,0.1032258064516129
2014,Economia,NORDESTE,28,0.18064516129032257
2014,Economia,NORTE,10,0.06451612903225806
2014,Economia,SUDESTE,62,0.4
2014,Economia,SUL,39,0.25161290322580643
2014,Ciência Política / RI,CENTRO-OESTE,5,0.13513513513513514
2014,Ciência Política / RI,NORDESTE,7,0.1891891891891892
2014,Ciência Política / RI,NORTE,1,0.02702702702702703
2014,Ciência Política / RI,SUDESTE,17,0.4594594594594595
2014,Ciência Política / RI,SUL,7,0.1891891891891892
2014,Sociologia,CENTRO-OESTE,6,0.08695652173913043
2014,Sociologia,NORDESTE,16,0.2318840579710145
2014,Sociologia,NORTE,2,0.028985507246376812
2014,Sociologia,SUDESTE,29,0.42028985507246375
2014,Sociologia,SUL,16,0.2318840579710145
2014,Antropologia / Arqueologia,CENTRO-OESTE,14,0.1
2014,Antropologia / Arqueologia,NORDESTE,27,0.19285714285714287
2014,Antropologia / Arqueologia,NORTE,9,0.06428571428571428
2014,Antropologia / Arqueologia,SUDESTE,61,0.4357142857142857
2014,Antropologia / Arqueologia,SUL,29,0.20714285714285716
2014,História,CENTRO-OESTE,23,0.10747663551401869
2014,História,NORDESTE,47,0.21962616822429906
2014,História,NORTE,12,0.056074766355140186
2014,História,SUDESTE,89,0.4158878504672897
2014,História,SUL,43,0.20093457943925233
2015,Geografia,CENTRO-OESTE,10,0.16129032258064516
2015,Geografia,NORDESTE,13,0.20967741935483872
2015,Geografia,NORTE,5,0.08064516129032258
2015,Geografia,SUDESTE,22,0.3548387096774194
2015,Geografia,SUL,12,0.1935483870967742
2015,Economia,CENTRO-OESTE,16,0.09815950920245399
2015,Economia,NORDESTE,30,0.18404907975460122
2015,Economia,NORTE,10,0.06134969325153374
2015,Economia,SUDESTE,66,0.4049079754601227
2015,Economia,SUL,41,0.25153374233128833
2015,Ciência Política / RI,CENTRO-OESTE,5,0.125
2015,Ciência Política / RI,NORDESTE,7,0.175
2015,Ciência Política / RI,NORTE,1,0.025
2015,Ciência Política / RI,SUDESTE,19,0.475
2015,Ciência Política / RI,SUL,8,0.2
2015,Sociologia,CENTRO-OESTE,6,0.08695652173913043
2015,Sociologia,NORDESTE,16,0.2318840579710145
2015,Sociologia,NORTE,2,0.028985507246376812
2015,Sociologia,SUDESTE,29,0.42028985507246375
2015,Sociologia,SUL,16,0.2318840579710145
2015,Antropologia / Arqueologia,CENTRO-OESTE,14,0.0958904109589041
2015,Antropologia / Arqueologia,NORDESTE,28,0.1917808219178082
2015,Antropologia / Arqueologia,NORTE,10,0.0684931506849315
2015,Antropologia / Arqueologia,SUDESTE,62,0.4246575342465753
2015,Antropologia / Arqueologia,SUL,32,0.2191780821917808
2015,História,CENTRO-OESTE,25,0.11467889908256881
2015,História,NORDESTE,48,0.22018348623853212
2015,História,NORTE,12,0.05504587155963303
2015,História,SUDESTE,89,0.40825688073394495
2015,História,SUL,44,0.2018348623853211
2016,Geografia,CENTRO-OESTE,10,0.15625
2016,Geografia,NORDESTE,15,0.234375
2016,Geografia,NORTE,5,0.078125
2016,Geografia,SUDESTE,22,0.34375
2016,Geografia,SUL,12,0.1875
2016,Economia,CENTRO-OESTE,16,0.09411764705882353
2016,Economia,NORDESTE,32,0.18823529411764706
2016,Economia,NORTE,11,0.06470588235294118
2016,Economia,SUDESTE,69,0.40588235294117647
2016,Economia,SUL,42,0.24705882352941178
2016,Ciência Política / RI,CENTRO-OESTE,5,0.11627906976744186
2016,Ciência Política / RI,NORDESTE,8,0.18604651162790697
2016,Ciência Política / RI,NORTE,1,0.023255813953488372
2016,Ciência Política / RI,SUDESTE,20,0.46511627906976744
2016,Ciência Política / RI,SUL,9,0.20930232558139536
2016,Sociologia,CENTRO-OESTE,6,0.08450704225352113
2016,Sociologia,NORDESTE,17,0.23943661971830985
2016,Sociologia,NORTE,2,0.028169014084507043
